c_early,makespan,total_cost
2000,237.61181761926167,395910.29558444605
2000,213.5951932204585,365246.40448300133
2000,237.8558284415154,396209.2540109423
2000,189.508866256789,349971.260595616
2000,192.46835559026516,351794.28907702636
2000,208.15134853996506,359202.588027733
2000,214.49306776829488,366339.87732773786
2000,186.94830245234886,351538.4000787756
2000,199.38529881511974,352548.90070001467
2000,192.4774020304935,351809.3562407788
2000,196.1459352609666,351073.3560859584
2000,202.3532501260339,354584.69796254905
2000,186.90060157410196,351498.1822936521
2000,256.336307031981,426465.43433209753
2000,199.7340110058155,352570.7096221838
2000,198.25508013013314,351935.85262853594
2000,204.7899976742337,356267.92833062855
2000,208.50470332511168,359604.8347151357
2000,214.416530365871,366200.92510985676
2000,190.12192979228433,351076.6241899864
2000,204.82095384534549,356294.1880263806
2000,225.1906351168856,378546.17630170216
2000,213.64755828441903,365328.9966759603
2000,203.278302646567,354975.26428561076
2000,213.3272364839463,364917.581852776
2000,199.13527356029718,352414.6921592063
2000,237.86113964795467,396218.2803766839
2000,199.04567202517788,352273.3463767879
2000,233.19705353599016,389507.56117640715
2000,201.769814051745,354154.625077795
2000,228.88482183432004,383786.8921029869
2000,236.6389001998555,394454.1895536521
2000,204.79522335645828,356274.9621120328
2000,194.64607936790975,350749.49496156606
2000,190.81663908119313,351427.95104627137
2000,204.94493978803317,356419.36292413337
2000,222.99230975284428,376141.1935745971
2000,256.0371156926543,425899.91914395994
2000,208.58648720046284,359505.49518013897
2000,237.80383884957453,396147.76794471167
2000,195.46991266529034,351147.8460164615
2000,194.2517523160891,351988.4720613124
2000,203.8966113933341,355335.091635379
2000,256.21155909104766,426229.62827503996
2000,256.2926444471614,426380.35468342307
2000,205.9712175930454,357196.004501094
2000,204.86765514234668,356267.24193986924
2000,224.4569648096865,377739.6550821326
2000,224.71603642808665,378034.27261290036
2000,210.1998437309928,361316.32197226945
2000,204.7618533857692,356385.95560504845
2000,186.32338824004728,352012.34266931284
2000,204.99906277044676,356392.03363209614
2000,204.8268833931002,356300.8020864987
2000,202.67319635352194,354594.87404662266
2000,258.9863060402405,430834.8984653817
2000,208.01137595137365,359137.33650037285
2000,232.80839140262935,388903.17293540674
2000,197.47919547574045,351455.75688760006
2000,207.66273381369857,358665.81764294265
2000,198.32930888546218,351865.4082478463
2000,230.8960560364113,386666.3265309417
2000,218.17231867417743,370214.613642208
2000,186.42760357787216,352140.9325874334
2000,190.9371928640111,351214.93889289256
2000,196.1678459325842,351105.5498681038
2000,198.24211004092825,351910.3213666009
2000,224.91236767333763,378221.6194830873
2000,209.97972554747852,361129.6862475354
2000,222.16459880649236,375469.7179232867
2000,203.8317666185255,355626.8621721063
2000,213.50405538547824,365253.2325546158
2000,219.53378799698004,372275.1464556752
2000,232.61211280759517,388821.2606790315
