alpha,makespan,labor_cost
0.3,235.48395017879764,622822.0420848363
0.3,241.76558139795537,607052.9736745518
0.3,261.23841176891597,572315.8140569939
0.3,233.05135327338937,630561.5323122699
0.3,240.35742110980956,609875.5019892657
0.3,247.04506569033845,594914.7644438301
0.3,252.05386524523075,585809.3207364485
0.3,237.86821700024024,617196.2454235149
0.3,246.64828896838404,596017.4272893395
0.3,241.73172630888683,607277.6279931236
0.3,262.4794971053637,570329.9540303566
0.3,228.16380733878836,650636.8073814432
0.3,247.5462363839531,593800.2878250696
0.3,269.1727127521222,564300.6418211926
0.3,234.89677475605689,624599.7999755305
0.3,258.200786965445,577994.7081644749
0.3,221.18111884021494,688306.5583826693
0.3,246.91237394538678,595303.2879668513
0.3,221.65713310517853,686425.2676531181
0.3,259.39543492827244,575415.4012191426
0.3,252.8074849095046,585076.0851459019
0.3,233.6390973552487,628018.082117952
0.3,234.93133781682897,623936.7642161762
0.3,235.9985450710286,621181.6366929071
0.3,224.093310644794,671345.8515014083
0.3,250.01005968775655,588587.7880184185
0.3,238.72358647709453,614467.0319541978
0.3,240.50799288297927,609349.8646596015
0.3,236.8480392794703,618457.73741271
0.3,227.44320997139067,654424.8889455722
0.3,237.94432269792918,616055.4728823742
0.3,235.28000186279837,623555.7213393482
