c_late,makespan,total_cost
2000,265.21280307099323,441820.89311121765
2000,194.99078498937487,350928.1920705318
2000,202.21222661923073,354421.11182071554
2000,196.70289957989968,351208.0499043573
2000,187.12282144101894,350818.6940763849
2000,214.56097161194756,366397.5917334622
2000,210.45809839472892,361294.06280134514
2000,221.00284569211797,373998.4606044184
2000,236.48000557166688,394209.145273397
2000,237.86196617995287,395671.1340994328
2000,249.43539766649707,414241.759111906
2000,215.34942040428396,366950.54051722144
2000,263.9591923589177,439480.4630866565
2000,243.9953595046455,405171.7060518152
2000,258.45298228852766,429863.92898585193
2000,239.72480991655505,398414.3342474967
2000,263.2489418584384,438289.90960463363
2000,207.33922418784732,358382.8659679342
2000,211.86106689208077,362570.41172893543
2000,186.506778613313,351969.9983850473
2000,209.57349847178676,360686.40841892565
2000,197.33691089922118,351677.4911435131
2000,233.29568627809027,389679.0953381866
2000,255.83266998818917,425508.17534163373
2000,231.38276883352822,387159.18128915946
2000,192.6864424136181,351490.7903436336
2000,186.32250996478334,352016.7434501671
2000,245.44985659920647,407571.1420322857
2000,192.57760031578928,351585.81499643775
2000,187.61221095501946,350465.4540442297
2000,232.23402170254647,388123.7975372217
2000,189.60886848893637,350095.39805309294
2000,238.89461565511547,397131.9879502164
2000,202.94483827353926,355085.8670691538
2000,232.1539035381856,388085.94144522183
2000,243.5599308500878,404439.95372053783
2000,212.63011687091276,363524.8881028558
2000,208.1534216607963,359179.4155668131
2000,241.47982600320034,401390.35993836954
2000,245.52687441641885,407676.5191406325
2000,253.18464988958303,420831.47417482483
2000,222.7883466215072,375793.807508087
2000,240.0036817282938,398620.16643003334
2000,235.54023589263852,392721.5238347617
2000,210.0799107941144,361088.16876911547
2000,236.29476055455615,393988.2023954729
2000,262.1627746317595,436499.79983455705
2000,247.79786689941085,411410.3002347535
2000,195.71848220227707,350772.0207933687
2000,231.93892824654316,387900.4506868294
2000,200.89268113294114,353086.3531037373
2000,217.29779137235403,369302.5984896788
2000,265.7627662631552,442792.6823075859
2000,207.0049501434248,357972.49224007723
2000,192.14195977399842,351853.02513527824
2000,196.35127526810012,351061.9865391875
2000,227.34868837876303,381182.5602316295
2000,256.7112805500082,426905.73973369604
2000,263.92044005089963,439532.5296634239
2000,257.53224860226993,428478.00834623247
2000,242.905513360479,403174.1487394042
2000,202.9995105839886,355022.51009287476
2000,203.63728595178281,355549.9132221979
2000,247.22084289118226,410598.70801246556
2000,217.57203621380864,369509.57179507904
2000,214.6083981125746,366338.18399662606
2000,246.50234555546677,409418.93542048556
2000,200.59688789359112,353066.47923524224
2000,192.14572502292796,351769.05497333757
2000,204.72954059670658,356337.1405603139
2000,210.46322072287646,360788.31729571585
2000,186.76271949972434,351518.07816887135
2000,243.53836182429106,404404.5687057065
2000,236.77932532651042,394262.8430519282
2000,198.5277391069019,351684.79119130113
2000,251.87032644368804,418264.9488677986
2000,228.2901823505382,382635.6731173353
2000,205.72826594432723,356791.4233210394
2000,196.28553917285896,350983.0384351635
2000,232.8145925248297,388910.40707049525
2000,209.19624902522636,359936.34929397615
2000,193.01264969418267,351784.9167354497
2000,215.75390260092888,367031.09955995757
2000,221.0929318411403,373790.75324064505
2000,211.86989046613763,362581.5515820895
2000,242.18602039444394,402282.07088946085
2000,193.89615821911215,351406.46000202827
2000,187.5148731214719,351066.44622118084
2000,216.3088787255845,367469.85589172365
2000,188.3863609628809,350121.429840671
2000,186.97618215201933,351287.6526580483
2000,209.14942094410304,360167.76367468364
2000,226.96129100126782,381343.8593411347
2000,245.0107309394429,406899.2696779604
2000,200.4433603700677,353025.2519597758
2000,202.63816026951915,354700.22150638746
2000,233.77828639332893,390118.43094950134
2000,240.55879263549605,399550.16689441993
2000,249.55112980356586,414385.5129409634
2000,197.75531478115326,351277.2098671408
