beta,makespan,labor_cost
0.6,210.93600283409884,563914.4502605943
0.6,214.60637314706509,560488.9073539921
0.6,206.0798833668542,570464.3331318097
0.6,191.06091138445655,597406.426546295
0.6,207.74340607792584,568163.3065228406
0.6,194.66480298159206,588467.1865969411
0.6,212.20974763133714,562753.4134113188
0.6,235.0452215323501,545413.4945699313
0.6,234.03632833747366,546051.7247178248
0.6,203.32595349281507,574294.4473724358
0.6,257.8967802929383,537158.5625938142
0.6,190.3238845290789,600929.3301838876
0.6,190.08674881435198,601524.3276886535
0.6,235.46180572169186,544501.7866947866
0.6,223.8175227263361,553013.5524235191
0.6,188.5234912475755,605229.0436611216
0.6,224.1738567296797,552627.3424981172
0.6,214.5360147037373,560572.1023252143
0.6,194.6713400229199,588464.0813789587
0.6,214.9721698476567,560372.1944596104
0.6,194.6574962839362,588516.2822932639
0.6,217.20503426433606,558136.0112503472
0.6,201.12682333379604,577375.3284755163
0.6,191.65619239557705,595034.6357314857
0.6,250.22016176252518,538990.902127842
0.6,212.28620007338714,562725.8115323161
0.6,188.9035267027114,604111.9545749142
0.6,195.2243542846536,587645.1380964689
0.6,237.69049345582798,542936.2625658313
0.6,209.29088082376094,565964.8078647314
0.6,200.12603402301656,579214.5341025273
0.6,213.01958229840062,561598.5569963
0.6,197.41773296504851,583518.0366686078
0.6,235.4329710538169,544690.2067646437
0.6,189.63119691551515,602014.686837804
0.6,190.05011228381636,601820.6126548062
0.6,188.25264673182053,607589.5702761766
0.6,190.1816052441957,601292.4139950641
0.6,202.0344792982885,576161.0776321802
0.6,203.26317048483492,574544.7045856002
0.6,203.2108776625028,574645.785824284
0.6,232.6563340863076,546460.1593005533
