alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.9,0.5,2000,5000,250,222.9628674223486,486065.9162984199,486065.9162984199
0.9,0.6,2000,5000,250,219.46717510929676,480880.71377536247,480880.71377536247
0.9,0.7,2000,5000,250,214.90294609865904,470477.08158163173,470477.08158163173
0.9,0.8,2000,5000,250,210.94587914334645,456589.54496494273,456589.54496494273
0.9,1.0,2000,5000,250,202.68796813485253,433332.1506065562,433332.1506065562
0.9,0.9,2000,5000,250,206.75252526604535,444679.9071258496,444679.9071258496
1.0,0.1,2000,5000,250,240.7752257081056,474181.4617656759,474181.4617656759
1.0,0.3,2000,5000,250,241.37745459011356,478099.6500716863,478099.6500716863
1.0,0.2,2000,5000,250,241.1589062149162,476066.69110231235,476066.69110231235
1.0,0.5,2000,5000,250,221.2338026859343,473938.74953252857,473938.74953252857
1.0,0.4,2000,5000,250,226.7755248715714,475386.8076284338,475386.8076284338
1.0,0.6,2000,5000,250,217.28704911094675,466290.44227078895,466290.44227078895
1.0,0.7,2000,5000,250,213.07138153599962,457083.49755117664,457083.49755117664
1.0,0.8,2000,5000,250,209.1044907082931,445863.7187525176,445863.7187525176
1.0,0.9,2000,5000,250,206.1919501682571,436434.67259203317,436434.67259203317
1.0,1.0,2000,5000,250,202.3913602728489,420124.4571315007,420124.4571315007
