alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.7,0.7,3000.0,3500.0,250,214.33011282098215,462486.44763619476,462486.44763619476
0.7,0.7,3500.0,3500.0,250,213.69841207015133,443291.93336710957,443291.93336710957
0.7,0.7,4500.0,3500.0,250,213.32957449768836,405731.960468238,405731.960468238
0.7,0.7,5000.0,3500.0,250,212.78745868698417,388279.18497018085,388279.18497018085
0.7,0.7,4000.0,3500.0,250,213.10837253817724,423595.9795265824,423595.9795265824
0.7,0.7,0.0,4000.0,250,249.9876816657449,526355.4426993367,526355.4426993367
0.7,0.7,500.0,4000.0,250,249.97860293660437,524466.6605022746,524466.6605022746
0.7,0.7,1000.0,4000.0,250,234.65640178294063,523009.1722707411,523009.1722707411
0.7,0.7,1500.0,4000.0,250,221.61855759133408,512016.862024082,512016.862024082
0.7,0.7,2000.0,4000.0,250,216.7621745616085,497129.91840204067,497129.91840204067
0.7,0.7,2500.0,4000.0,250,215.58589482490885,480882.29895865556,480882.29895865556
0.7,0.7,3000.0,4000.0,250,214.28134979346373,461578.2213670668,461578.2213670668
0.7,0.7,3500.0,4000.0,250,213.82878031858255,443076.63767625735,443076.63767625735
0.7,0.7,4000.0,4000.0,250,212.31186326706828,423004.71393037494,423004.71393037494
0.7,0.7,0.0,4500.0,250,249.99438868955156,526264.8025026345,526264.8025026345
0.7,0.7,4500.0,4000.0,250,213.17702566995737,405811.92987595976,405811.92987595976
0.7,0.7,5000.0,4000.0,250,212.65213914987604,387429.26281697256,387429.26281697256
0.7,0.7,500.0,4500.0,250,249.97610289514998,525179.2014047912,525179.2014047912
0.7,0.7,1000.0,4500.0,250,234.35979818091033,523765.85006564733,523765.85006564733
0.7,0.7,1500.0,4500.0,250,220.67819495161626,513181.81860816764,513181.81860816764
0.7,0.7,2500.0,4500.0,250,215.52087490518548,481281.8640931567,481281.8640931567
0.7,0.7,3000.0,4500.0,250,214.3780210655809,463354.43826471106,463354.43826471106
0.7,0.7,2000.0,4500.0,250,215.92107714810058,497196.19603856746,497196.19603856746
0.7,0.7,3500.0,4500.0,250,213.2338647513046,442678.7152563153,442678.7152563153
0.7,0.7,4000.0,4500.0,250,212.67971040512785,423453.26627217815,423453.26627217815
0.7,0.7,4500.0,4500.0,250,213.10912375026416,408170.23623424023,408170.23623424023
0.7,0.7,0.0,5000.0,250,250.00015549422952,526428.5057997865,526428.5057997865
0.7,0.7,5000.0,4500.0,250,213.84193984628834,390694.970100992,390694.970100992
0.7,0.7,500.0,5000.0,250,249.94427803218676,524844.8405302139,524844.8405302139
0.7,0.7,1000.0,5000.0,250,235.00792725359767,523355.42119889986,523355.42119889986
0.7,0.7,1500.0,5000.0,250,222.33253812947785,513435.4428973362,513435.4428973362
0.7,0.7,2000.0,5000.0,250,219.4189089918727,499600.03609816293,499600.03609816293
0.7,0.7,2500.0,5000.0,250,215.64912282882523,480177.04082959995,480177.04082959995
0.7,0.7,3000.0,5000.0,250,213.4259453470188,461079.061754905,461079.061754905
0.7,0.7,3500.0,5000.0,250,213.64773936264243,443291.8669972108,443291.8669972108
0.7,0.7,4000.0,5000.0,250,213.29328376647362,423775.6231170057,423775.6231170057
0.7,0.7,4500.0,5000.0,250,212.2505640854662,403716.88172612386,403716.88172612386
0.7,0.7,5000.0,5000.0,250,212.48418319746753,385265.89507688483,385265.89507688483
