c_late,c_early,makespan,total_crash_cost,penalty_applied,bonus_applied,net_cost,status,makespan_raw
50.505050505050505,181.8181818181818,322,1170.4,0.0,4000.0,-2829.6,OPTIMAL,322
0.0,1010.10101010101,234,57037.2,0.0,111111.11111111111,-54073.91111111111,OPTIMAL,234
0.0,1030.3030303030303,234,57037.2,0.0,113333.33333333333,-56296.13333333333,OPTIMAL,234
0.0,1050.5050505050503,234,57037.2,0.0,115555.55555555553,-58518.355555555536,OPTIMAL,234
0.0,1070.7070707070707,234,57037.2,0.0,117777.77777777778,-60740.577777777784,OPTIMAL,234
0.0,1090.9090909090908,234,57037.2,0.0,119999.99999999999,-62962.79999999999,OPTIMAL,234
0.0,1111.111111111111,222,70237.2,0.0,135555.55555555556,-65318.355555555565,OPTIMAL,222
0.0,1131.3131313131312,222,70237.2,0.0,138020.202020202,-67783.00202020201,OPTIMAL,222
0.0,1151.5151515151515,222,70237.2,0.0,140484.84848484848,-70247.64848484848,OPTIMAL,222
0.0,1171.7171717171716,222,70237.2,0.0,142949.49494949493,-72712.29494949493,OPTIMAL,222
0.0,1191.919191919192,222,70237.2,0.0,145414.14141414143,-75176.94141414143,OPTIMAL,222
0.0,1818.181818181818,216,79617.2,0.0,232727.2727272727,-153110.0727272727,OPTIMAL,216
0.0,1838.3838383838383,216,79617.2,0.0,235313.1313131313,-155695.9313131313,OPTIMAL,216
0.0,1858.5858585858584,216,79617.2,0.0,237898.98989898988,-158281.7898989899,OPTIMAL,216
0.0,1878.7878787878788,215,81477.2,0.0,242363.63636363635,-160886.43636363634,OPTIMAL,215
0.0,1898.9898989898988,215,81477.2,0.0,244969.69696969696,-163492.49696969695,OPTIMAL,215
0.0,1919.1919191919192,215,81477.2,0.0,247575.75757575757,-166098.55757575756,OPTIMAL,215
0.0,1939.3939393939393,215,81477.2,0.0,250181.81818181818,-168704.61818181816,OPTIMAL,215
0.0,1959.5959595959594,215,81477.2,0.0,252787.87878787876,-171310.67878787877,OPTIMAL,215
0.0,1979.7979797979797,215,81477.2,0.0,255393.9393939394,-173916.73939393938,OPTIMAL,215
0.0,2000.0,215,81477.2,0.0,258000.0,-176522.8,OPTIMAL,215
50.505050505050505,202.02020202020202,315,2514.4,0.0,5858.585858585859,-3344.1858585858586,OPTIMAL,315
50.505050505050505,222.2222222222222,315,2514.4,0.0,6444.444444444443,-3930.0444444444433,OPTIMAL,315
50.505050505050505,242.4242424242424,315,2514.4,0.0,7030.30303030303,-4515.90303030303,OPTIMAL,315
50.505050505050505,262.6262626262626,313,3002.4,0.0,8141.41414141414,-5139.01414141414,OPTIMAL,313
50.505050505050505,282.8282828282828,313,3002.4,0.0,8767.676767676767,-5765.276767676767,OPTIMAL,313
50.505050505050505,303.030303030303,307,4790.4,0.0,11212.121212121212,-6421.721212121212,OPTIMAL,307
50.505050505050505,323.2323232323232,307,4790.4,0.0,11959.59595959596,-7169.19595959596,OPTIMAL,307
50.505050505050505,343.4343434343434,307,4790.4,0.0,12707.070707070707,-7916.670707070707,OPTIMAL,307
50.505050505050505,363.6363636363636,305,5480.8,0.0,14181.818181818182,-8701.01818181818,OPTIMAL,305
50.505050505050505,383.83838383838383,305,5480.8,0.0,14969.69696969697,-9488.896969696969,OPTIMAL,305
50.505050505050505,606.060606060606,276,21085.2,0.0,41212.12121212121,-20126.921212121208,OPTIMAL,276
50.505050505050505,626.2626262626262,276,21085.2,0.0,42585.85858585858,-21500.65858585858,OPTIMAL,276
50.505050505050505,646.4646464646464,276,21085.2,0.0,43959.59595959596,-22874.395959595957,OPTIMAL,276
50.505050505050505,666.6666666666666,276,21085.2,0.0,45333.33333333333,-24248.133333333328,OPTIMAL,276
50.505050505050505,686.8686868686868,276,21085.2,0.0,46707.07070707071,-25621.870707070706,OPTIMAL,276
50.505050505050505,707.070707070707,276,21085.2,0.0,48080.80808080808,-26995.608080808077,OPTIMAL,276
50.505050505050505,727.2727272727273,257,34765.2,0.0,63272.72727272727,-28507.527272727275,OPTIMAL,257
50.505050505050505,747.4747474747475,257,34765.2,0.0,65030.30303030303,-30265.103030303035,OPTIMAL,257
50.505050505050505,767.6767676767677,257,34765.2,0.0,66787.87878787878,-32022.678787878787,OPTIMAL,257
50.505050505050505,787.8787878787879,257,34765.2,0.0,68545.45454545454,-33780.25454545455,OPTIMAL,257
50.505050505050505,404.04040404040404,305,5480.8,0.0,15757.575757575758,-10276.775757575757,OPTIMAL,305
50.505050505050505,424.2424242424242,305,5480.8,0.0,16545.454545454544,-11064.654545454545,OPTIMAL,305
50.505050505050505,444.4444444444444,305,5480.8,0.0,17333.333333333332,-11852.533333333333,OPTIMAL,305
50.505050505050505,464.6464646464646,293,10885.2,0.0,23696.969696969696,-12811.769696969695,OPTIMAL,293
50.505050505050505,484.8484848484848,293,10885.2,0.0,24727.272727272724,-13842.072727272724,OPTIMAL,293
50.505050505050505,505.050505050505,293,10885.2,0.0,25757.575757575756,-14872.375757575755,OPTIMAL,293
50.505050505050505,525.2525252525252,293,10885.2,0.0,26787.878787878784,-15902.678787878784,OPTIMAL,293
50.505050505050505,545.4545454545454,293,10885.2,0.0,27818.181818181816,-16932.981818181815,OPTIMAL,293
50.505050505050505,565.6565656565656,293,10885.2,0.0,28848.484848484844,-17963.284848484844,OPTIMAL,293
50.505050505050505,585.8585858585858,293,10885.2,0.0,29878.787878787876,-18993.587878787876,OPTIMAL,293
50.505050505050505,808.0808080808081,257,34765.2,0.0,70303.0303030303,-35537.83030303031,OPTIMAL,257
