beta,makespan,labor_cost,total_cost
0.6,287.61808842522515,505502.55422132683,505502.55422132683
0.6,234.75188957599298,548180.8677348872,548180.8677348872
0.6,252.76361545684037,527018.1919479605,527018.1919479605
0.6,239.9407601038468,541491.9795136292,541491.9795136292
0.6,261.281507445074,518478.40688195126,518478.40688195126
0.6,271.97954148585626,511676.9347311808,511676.9347311808
0.6,235.51620881472485,547186.8661613511,547186.8661613511
0.6,226.10592941747012,562566.1352749667,562566.1352749667
0.6,225.4606910536523,564040.1640168561,564040.1640168561
0.6,279.8752403752442,507637.44763407507,507637.44763407507
0.6,253.37915205058883,526262.6678737476,526262.6678737476
0.6,239.47645517836233,542263.2224410176,542263.2224410176
0.6,234.5979612796236,548566.2883265874,548566.2883265874
0.6,291.21874087628186,504607.2229942662,504607.2229942662
0.6,257.60578194155585,521963.52408440295,521963.52408440295
0.6,277.81905364911364,508542.7438053453,508542.7438053453
0.6,255.36145484144382,524428.8326386327,524428.8326386327
0.6,281.25553068677067,507183.75414603704,507183.75414603704
0.6,238.4683127109298,543532.1090789954,543532.1090789954
0.6,263.6834335406833,516829.8221841148,516829.8221841148
0.6,229.88003621067054,554989.1723150526,554989.1723150526
0.6,235.76604144163568,546793.7108483064,546793.7108483064
0.6,271.1627880150898,512072.43936784833,512072.43936784833
0.6,223.73867517691986,569214.7766980387,569214.7766980387
0.6,236.25143665545656,546158.7328679231,546158.7328679231
0.6,226.64318945872762,561505.4050959474,561505.4050959474
0.6,230.35849181959298,554433.17366169,554433.17366169
0.6,268.7480103079234,513138.40351511096,513138.40351511096
0.6,246.12708299597793,534383.2209578438,534383.2209578438
0.6,226.54253696854533,561853.6727649276,561853.6727649276
0.6,282.70899318878963,506875.35089257534,506875.35089257534
0.6,265.3393383268405,515798.7668308983,515798.7668308983
0.6,276.1231376549515,509293.6688096329,509293.6688096329
0.6,226.41263501075,562267.8606936777,562267.8606936777
0.6,232.10246546323788,551653.0106488456,551653.0106488456
0.6,238.53455912341698,543242.089218195,543242.089218195
0.6,265.4572781669072,515745.132694664,515745.132694664
0.6,245.14530332778253,535440.3429509464,535440.3429509464
0.6,234.46127548962994,548641.7387209046,548641.7387209046
0.6,269.7866709706284,512768.98892198823,512768.98892198823
0.6,229.02124371544113,555977.694357298,555977.694357298
0.6,228.1167902574873,557811.594626571,557811.594626571
0.6,235.10597440196304,547674.8971932855,547674.8971932855
