c_late,c_early,makespan,total_crash_cost,penalty_applied,bonus_applied,net_cost,status,makespan_raw
101.01010101010101,20.2020202020202,344,0.0,0.0,0.0,0.0,OPTIMAL,344
101.01010101010101,40.4040404040404,332,358.32,0.0,484.8484848484848,-126.52848484848482,OPTIMAL,332
101.01010101010101,60.6060606060606,332,358.32,0.0,727.2727272727273,-368.95272727272726,OPTIMAL,332
101.01010101010101,80.8080808080808,332,358.32,0.0,969.6969696969696,-611.3769696969696,OPTIMAL,332
101.01010101010101,101.01010101010101,332,358.32,0.0,1212.121212121212,-853.8012121212121,OPTIMAL,332
101.01010101010101,121.2121212121212,332,358.32,0.0,1454.5454545454545,-1096.2254545454546,OPTIMAL,332
101.01010101010101,141.4141414141414,332,358.32,0.0,1696.9696969696968,-1338.6496969696968,OPTIMAL,332
101.01010101010101,161.6161616161616,330,656.94,0.0,2262.6262626262624,-1605.6862626262623,OPTIMAL,330
101.01010101010101,181.8181818181818,330,656.94,0.0,2545.4545454545455,-1888.5145454545454,OPTIMAL,330
50.505050505050505,1010.10101010101,230,53849.46,0.0,115151.51515151515,-61302.05515151515,OPTIMAL,230
50.505050505050505,1030.3030303030303,230,53849.46,0.0,117454.54545454546,-63605.08545454546,OPTIMAL,230
50.505050505050505,1050.5050505050503,230,53849.46,0.0,119757.57575757575,-65908.11575757575,OPTIMAL,230
50.505050505050505,1070.7070707070707,230,53849.46,0.0,122060.60606060605,-68211.14606060606,OPTIMAL,230
50.505050505050505,1090.9090909090908,230,53849.46,0.0,124363.63636363635,-70514.17636363636,OPTIMAL,230
50.505050505050505,1111.111111111111,230,53849.46,0.0,126666.66666666666,-72817.20666666667,OPTIMAL,230
50.505050505050505,1131.3131313131312,230,53849.46,0.0,128969.69696969696,-75120.23696969697,OPTIMAL,230
50.505050505050505,1151.5151515151515,225,59549.09,0.0,137030.30303030304,-77481.21303030304,OPTIMAL,225
50.505050505050505,1171.7171717171716,225,59549.09,0.0,139434.3434343434,-79885.25343434341,OPTIMAL,225
50.505050505050505,1191.919191919192,225,59549.09,0.0,141838.38383838383,-82289.29383838383,OPTIMAL,225
