alpha,makespan,labor_cost,total_cost
0.3,311.6537373950035,507594.25689794275,507594.25689794275
0.3,263.8009404375542,555870.6636884676,555870.6636884676
0.3,283.8653833348569,527984.9578812084,527984.9578812084
0.3,245.35926033939063,598883.5714002195,598883.5714002195
0.3,292.44815967378776,518865.18855461676,518865.18855461676
0.3,266.4362658198126,551650.4009248421,551650.4009248421
0.3,255.30045704256113,570960.4489339855,570960.4489339855
0.3,266.07794689471945,552484.1967505525,552484.1967505525
0.3,308.3618145937138,509406.3225239876,509406.3225239876
0.3,309.8606702301494,508620.47688997263,508620.47688997263
0.3,307.86019003266745,509732.93028550333,509732.93028550333
0.3,293.5242215238407,518174.20605004055,518174.20605004055
0.3,251.47229234995604,580203.5251461021,580203.5251461021
0.3,275.8417494579102,537764.9676514694,537764.9676514694
0.3,254.58493780875324,572241.4647576746,572241.4647576746
0.3,243.33808710037584,605715.8699591527,605715.8699591527
0.3,243.244516919777,607151.1870980017,607151.1870980017
0.3,284.87084835008204,526755.7046465898,526755.7046465898
0.3,293.3915442460294,518224.4460779668,518224.4460779668
0.3,261.72222541691565,559102.8677570864,559102.8677570864
0.3,246.82143122182023,593308.5003948567,593308.5003948567
0.3,270.6336713309298,545706.588282693,545706.588282693
0.3,251.43870470000422,580289.4852723554,580289.4852723554
0.3,258.03013764231537,565339.3431725028,565339.3431725028
0.3,301.01438384132024,513122.1935849897,513122.1935849897
0.3,308.40776341797846,509358.75175122643,509358.75175122643
0.3,267.09372902176665,550954.2762071432,550954.2762071432
0.3,295.23116945299927,516862.77472011436,516862.77472011436
0.3,244.26666815816074,602165.193855702,602165.193855702
0.3,281.1626182525616,531137.268495173,531137.268495173
0.3,245.55047806246753,597070.3874545011,597070.3874545011
0.3,288.38086647141705,522810.7319910649,522810.7319910649
0.3,306.02299773503995,510524.5177759875,510524.5177759875
0.3,257.9290739139392,565544.007749015,565544.007749015
0.3,288.9633212493649,522212.5299480158,522212.5299480158
0.3,250.38850132611464,582303.550600291,582303.550600291
0.3,273.0221671572178,541539.9170216611,541539.9170216611
0.3,308.1516750264716,509515.2966728627,509515.2966728627
0.3,248.85220756879735,587001.2945495084,587001.2945495084
0.3,244.2180639608936,602322.2123918631,602322.2123918631
0.3,272.6904161671817,542167.9900084571,542167.9900084571
0.3,306.2947525804276,510335.80991325557,510335.80991325557
0.3,264.14087870034433,555230.9885998729,555230.9885998729
0.3,279.56818246508846,533118.8304296765,533118.8304296765
0.3,249.69189605003433,584196.8155836599,584196.8155836599
0.3,278.29656597920746,534780.6437773048,534780.6437773048
0.3,270.7005768515658,545274.0819109775,545274.0819109775
0.3,269.43570176507984,547716.368944549,547716.368944549
0.3,252.31080379635233,577895.6366485746,577895.6366485746
0.3,287.77284115802144,523484.0232408351,523484.0232408351
0.3,308.0715175037447,509586.4226973687,509586.4226973687
0.3,271.6544818798524,544271.4380045603,544271.4380045603
0.3,269.8738072271814,546617.5890332784,546617.5890332784
0.3,270.50605749940155,545809.5981466167,545809.5981466167
